acsfProductionDate,approach.cellHealth,approach.creCell,approach.depth,approach.pilotName,approach.pilotTest01,approach.pilotTest04,approach.pilotTest05,approach.pilotTestYN,approach.sliceHealth,attempt,badSweeps,blankFillDate,container,date,depth,experimentType,extraction.endPipetteR,extraction.extractionNotes,extraction.extractionObservations,extraction.nucleus,extraction.pilotNameExtra,extraction.postPatch,extraction.pressureApplied,extraction.retractionPressureApplied,extraction.sampleObservations,extraction.timeChannelRecordingEnd,extraction.timeEnd,extraction.timeExtractionEnd,extraction.timeExtractionStart,extraction.timeRetractionEnd,extraction.timeRetractionStart,extraction.tubeID,failureCause,failureNotes,flipped,formVersion,freeFailureNotes,internalFillDate,internalSolution.concentrationBiocytin,internalSolution.concentrationRnaseInhibitor,internalSolution.version,internalSolution.volume,jem_created,limsSpecName,pipetteSpecName,qcNotes,recording.accessR,recording.humanCellTypePrediction,recording.membraneV,recording.pipetteR,recording.rheobase,recording.timeStart,recording.timeWholeCellStart,rigNumber,rigOperator,roi,sliceNotes,sliceQuality,status,successNotes,wellID,roi_major,roi_minor,jem_date_dt,jem_date_m
2018-06-21,3,Cre+,,None,,,,,3,5.0,,2018-05-24,NA,2018-06-22 09:40:25 -0700,67.7,,6.0,,Fluorescence in Pipette,no,,nucleus_absent,-20.0,-20.0,,,,11:11:37 -0700,11:11:09 -0700,11:13:06 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-22,Sst-IRES-Cre;Ai14-395723.03.01,,,,,,4.1,,11:03:29 -0700,11:04:13 -0700,4,kristenh,VISp2/3,,Good,SUCCESS,,,VISp,layer 2/3,2018-06-22,2018-06
2018-06-21,3,Cre+,,None,,,,,2,2.0,,2018-05-24,NA,2018-06-22 09:55:35 -0700,47.9,,4.2,No seal and alexa fill visible.,"Cell Dimmed,Cell Swelled",no,,nucleus_absent,-26.0,-26.0,No Bubbles,,,10:52:48 -0700,10:51:40 -0700,10:56:21 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-22,Sst-IRES-Cre;Ai14-395723.05.02,,"Ended after C2, Noise sweep.",,,,4.0,,10:37:22 -0700,10:39:27 -0700,7,ramr,VISp6a,#Health,'Wave of Death',SUCCESS,Patch/Cell Unstable,,VISp,layer 6a,2018-06-22,2018-06
2018-06-21,2,Cre+,,None,,,,,2,2.0,,2018-05-24,NA,2018-06-22 14:26:46 -0700,61,,6.0,,,no,,nucleus_absent,-49.0,-49.0,,,,14:54:47 -0700,14:51:59 -0700,14:54:47 -0700,,,,,No,2.0.3,,2018-04-30,,,,,2018-06-22,Slc17a8-iCre;Ai14-395798.04.01,,,,,,3.8,,14:39:04 -0700,14:40:45 -0700,1,dijonh,VISp6a,#Health,Good,SUCCESS,,,VISp,layer 6a,2018-06-22,2018-06
2018-06-22,2,Cre+,,None,,,,,3,2.0,,2018-05-24,NA,2018-06-25 13:38:51 -0700,63,,10,,,no,,nucleus_absent,-60.0,-60.0,,,,14:16:33 -0700,14:15:08 -0700,14:16:33 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-25,Pvalb-T2A-CreERT2;Ai14-396261.03.02,,,,,,4.8,,14:05:37 -0700,14:06:45 -0700,1,dijonh,VISp2/3,,Good,SUCCESS,Patch Became Leaky,,VISp,layer 2/3,2018-06-25,2018-06
2018-06-22,2,Cre+,,None,,,,,4,1.0,,2018-05-24,NA,2018-06-25 13:38:51 -0700,60,,5,,Fluorescence in Pipette,not_intentionally,,nucleus_absent,-55.0,-55.0,,,,14:01:37 -0700,13:58:58 -0700,14:01:37 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-25,Pvalb-T2A-CreERT2;Ai14-396261.03.02,,,,,,3.2,,13:43:47 -0700,13:44:09 -0700,1,dijonh,VISp5,,Good,SUCCESS,,,VISp,layer 5,2018-06-25,2018-06
2018-06-22,2,Cre+,,None,,,,,3,1.0,,2018-05-24,NA,2018-06-25 14:41:25 -0700,56.0,,3.7,No seal and no alexa fill visible.,"Cell Dimmed,Cell Swelled,Too Deep",no,,nucleus_absent,-30.0,-30.0,No Bubbles,,,15:08:32 -0700,15:06:45 -0700,15:12:48 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-25,Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-398210.05.01,,,,,,4.5,,14:55:21 -0700,14:58:49 -0700,7,ramr,VISp5,#Schedule,'Wave of Death',SUCCESS,"Patch/Cell Unstable,Ended After C1",,VISp,layer 5,2018-06-25,2018-06
2018-06-22,2,Cre+,,None,,,,,2,2.0,,2018-05-24,NA,2018-06-25 14:41:25 -0700,53.6,,4.1,No seal and no alexa fill visible.,"Cell Dimmed,Cell Swelled",no,,nucleus_absent,-38.0,-38.0,No Bubbles,,,15:40:48 -0700,15:38:49 -0700,15:45:08 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-25,Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-398210.05.01,,,,,,5.2,,15:29:13 -0700,15:32:25 -0700,7,ramr,VISp5,#Schedule,'Wave of Death',SUCCESS,"Rheobase Changed,Ended After C1",,VISp,layer 5,2018-06-25,2018-06
2018-06-22,3,Cre+,,None,,,,,2,3.0,,2018-05-24,NA,2018-06-25 16:15:56 -0700,68,,4.0,,,no,,nucleus_absent,-55.0,-55.0,,,,16:49:30 -0700,16:47:43 -0700,16:49:30 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-25,Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-398210.06.02,,,,,,3.4,,16:36:46 -0700,16:38:27 -0700,1,dijonh,VISp2/3,#schedule,Good,SUCCESS,,,VISp,layer 2/3,2018-06-25,2018-06
2018-06-25,2,Cre+,,None,,,,,2,1.0,,2018-05-24,NA,2018-06-26 10:49:11 -0700,42.7,,3.5,No seal and barely any alexa fill visible.,"Cell Dimmed,Cell Swelled",no,,nucleus_absent,-35.0,-35.0,No Bubbles,,,11:17:09 -0700,11:15:43 -0700,11:21:41 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-26,Th-P2A-FlpO;Ai65F-397196.04.02,,,,,,4.3,,11:04:31 -0700,11:07:39 -0700,7,ramr,VISp6a,#Reportgone,Good,SUCCESS,"Patch/Cell Unstable,Ended After C1",,VISp,layer 6a,2018-06-26,2018-06
2018-06-25,4,Cre+,,None,,,,,4,2.0,,2018-05-24,NA,2018-06-26 13:42:11 -0700,62,,8.0,,,no,,nucleus_absent,-50.0,-50.0,,,,14:27:17 -0700,14:25:28 -0700,14:27:18 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-26,Pvalb-T2A-CreERT2;Ai14-396262.05.02,,,,,,3.3,,14:09:02 -0700,14:15:54 -0700,1,dijonh,VISp4,#Health,'Wave of Death',SUCCESS,,,VISp,layer 4,2018-06-26,2018-06
2018-06-25,2,Cre+,,None,,,,,4,1.0,,2018-05-24,NA,2018-06-26 13:42:11 -0700,0,,7.0,,,no,,nucleus_absent,-50.0,-50.0,,,,14:05:03 -0700,14:02:30 -0700,14:05:04 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-26,Pvalb-T2A-CreERT2;Ai14-396262.05.02,,,,,,3.4,,13:46:09 -0700,13:52:00 -0700,1,dijonh,VISp4,#Health,'Wave of Death',SUCCESS,Cell Hyperpolarized,,VISp,layer 4,2018-06-26,2018-06
2018-06-26,3,Cre+,,None,,,,,2,3.0,,2018-05-24,NA,2018-06-27 10:09:13 -0700,56,,0.0,,,no,,nucleus_present,-48.0,-48.0,,,,10:37:47 -0700,10:36:18 -0700,10:37:47 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-27,Vip-IRES-Cre;Ai14-397999.03.02,,,,,,3.2,,10:27:10 -0700,10:28:42 -0700,1,dijonh,VISp4,#health,Good,SUCCESS,Patch Became Leaky,,VISp,layer 4,2018-06-27,2018-06
2018-06-26,2,Cre+,,None,,,,,2,2.0,,2018-05-24,NA,2018-06-27 10:23:59 -0700,40.5,,5.5,No seal and no alexa fill visible.,"Cell Dimmed,Cell Swelled",no,,nucleus_absent,-25.0,-25.0,No Bubbles,,,11:20:47 -0700,11:20:18 -0700,11:22:20 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-27,Vip-IRES-Cre;Ai14-397999.02.02,,,,,,4.5,,11:11:47 -0700,11:13:55 -0700,7,ramr,VISp5,#Health,Good,SUCCESS,"Patch/Cell Unstable,Ended After C1",,VISp,layer 5,2018-06-27,2018-06
2018-06-26,3,Cre+,,None,,,,,2,2.0,,2018-05-24,NA,2018-06-27 14:42:17 -0700,69,,6.0,.5%,,no,,nucleus_present,-50.0,-50.0,,,,15:08:02 -0700,15:06:19 -0700,15:08:02 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-27,Vip-IRES-Cre;Ai14-398004.05.02,,,,,,3.3,,14:53:47 -0700,14:55:03 -0700,1,dijonh,VISp4,#health,Good,SUCCESS,,,VISp,layer 4,2018-06-27,2018-06
2018-06-28,1,Cre+,,None,,,,,2,2.0,,2018-05-24,NA,2018-06-29 14:19:36 -0700,35.2,,3.5,No seal and alexa fill visible.,"Cell Dimmed,Cell Swelled",no,,nucleus_absent,-25.0,-25.0,No Bubbles,,,14:57:20 -0700,14:56:34 -0700,15:01:27 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-29,Htr3a-Cre_NO152;Ai14-397653.03.01,,,,,,4.3,,14:48:28 -0700,14:51:02 -0700,7,ramr,VISp5,#Health,Good,SUCCESS,"Patch/Cell Unstable,Cell Depolarized,Ended After C1",,VISp,layer 5,2018-06-29,2018-06
2018-06-29,1,Cre+,,None,,,,,3,3.0,,2018-05-24,NA,2018-07-02 13:14:58 -0700,0,,11.0,,Fluorescence in Pipette,no,,nucleus_absent,-20.0,-20.0,,,,14:17:26 -0700,14:17:15 -0700,14:18:00 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-07-02,Htr3a-Cre_NO152;Ai14-397654.03.01,,WSE froze so no images,,,,4.2,,14:12:19 -0700,14:13:03 -0700,4,kristenh,VISp2/3,,Good,SUCCESS,,,VISp,layer 2/3,2018-07-02,2018-07
2018-07-02,1,Cre+,,None,,,,,2,4.0,,2018-05-24,NA,2018-07-03 09:29:47 -0700,46.8,,7.1,No seal and barely any alexa fill visible.,"Cell Dimmed,Cell Swelled",no,,nucleus_absent,-20.0,-20.0,No Bubbles,,,11:04:23 -0700,11:03:48 -0700,11:08:02 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-07-03,Vip-IRES-Cre;Ai14-398636.04.01,,,,,,6.5,,10:54:43 -0700,10:58:41 -0700,1,ramr,VISp2/3,#Health,Good,SUCCESS,Ended After C1,,VISp,layer 2/3,2018-07-03,2018-07
2018-07-02,2,Cre+,,None,,,,,3,3.0,,2018-05-24,NA,2018-07-03 10:25:08 -0700,80,,4,,,no,,nucleus_absent,-50.0,-50.0,,,,11:32:35 -0700,11:30:33 -0700,11:32:35 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-07-03,Vip-IRES-Cre;Ai14-398636.03.01,,,,,,3.2,,11:18:53 -0700,11:20:21 -0700,2,dijonh,VISp4,#ROIgone,Good,SUCCESS,,,VISp,layer 4,2018-07-03,2018-07
2018-07-02,2,Cre+,,None,,,,,3,3.0,,2018-05-24,NA,2018-07-03 14:20:42 -0700,0,,184.0,,,not_intentionally,,nucleus_absent,-60.0,-60.0,,,,15:17:58 -0700,15:16:20 -0700,15:17:58 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-07-03,Htr3a-Cre_NO152;Ai14-397655.03.01,,,,,,4.4,,15:03:45 -0700,15:04:59 -0700,2,dijonh,VISp4,#health,Good,SUCCESS,,,VISp,layer 4,2018-07-03,2018-07
2018-07-02,3,Cre+,,None,,,,,3,1.0,,2018-05-24,NA,2018-07-03 15:44:38 -0700,49,,11,,,not_intentionally,,nucleus_absent,-50.0,-50.0,,,,16:03:57 -0700,16:02:02 -0700,16:03:57 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-07-03,Gad2-IRES-Cre;Ai14-399697.04.01,,,,,,4.0,,15:48:25 -0700,15:50:38 -0700,2,dijonh,VISp2/3,#schedule,Good,SUCCESS,,,VISp,layer 2/3,2018-07-03,2018-07
2018-07-03,3,None,,None,,,,,3,2.0,,2018-05-24,NA,2018-07-05 13:07:42 -0700,78.4,,4.5,No seal and no alexa fill. Quarter 2,Too Deep,no,,nucleus_absent,-40.0,-40.0,No Bubbles,,,13:59:34 -0700,13:58:03 -0700,14:05:54 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-07-05,H18.06.359.11.04.01,,Ended after C2.,,Unknown Interneuron,,4.9,,13:45:48 -0700,13:47:17 -0700,1,ramr,FCx3,Large cut in the layer 1-2 area.,"Damaged,Uneven Thickness",SUCCESS,,,FCx,layer 3,2018-07-05,2018-07
2018-07-04,2,Cre+,,None,,,,,3,1.0,,2018-05-24,NA,2018-07-05 13:27:52 -0700,43.3,,5.0,Alexa fill not visible post experiment.,,no,,nucleus_absent,-25.0,-25.0,,,,13:58:53 -0700,13:58:11 -0700,14:01:07 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-07-05,Slc17a7-IRES2-Cre;Ai14-399114.03.02,,,,,,6.2,,13:49:10 -0700,13:50:39 -0700,3,rustym,VISp4,#Health.  Poor cell health,Good,SUCCESS,,,VISp,layer 4,2018-07-05,2018-07
2018-07-05,2,Cre+,,None,,,,,4,1.0,,2018-06-14,NA,2018-07-06 12:56:53 -0700,94,,0.0,,,no,,nucleus_absent,-50.0,-50.0,,,,13:18:48 -0700,13:18:07 -0700,13:20:57 -0700,,,,,Yes,2.0.3,,2018-05-21,,,,,2018-07-06,Pvalb-IRES-Cre;Ai14-400563.03.02,,,,,,3.0,,13:07:04 -0700,13:08:33 -0700,2,dijonh,VISp4,#Schedule,Good,SUCCESS,Patch Became Leaky,,VISp,layer 4,2018-07-06,2018-07
2018-07-09,3,Cre+,,None,,,,,4,3.0,,2018-06-14,NA,2018-07-10 10:19:23 -0700,58.5,,11.0,,"Fluorescence in Pipette,Cell Dimmed",no,,nucleus_absent,-25.0,-25.0,,,,10:41:58 -0700,10:41:34 -0700,10:43:02 -0700,,,,,Yes,2.0.3,,2018-05-21,,,,,2018-07-10,Sst-IRES-Cre;Ai14-400683.04.01,,,,,,3.4,,10:38:24 -0700,10:39:22 -0700,4,kristenh,VISp5,,Good,SUCCESS,,,VISp,layer 5,2018-07-10,2018-07
2018-07-09,2,Cre+,,None,,,,,2,3.0,,2018-06-14,NA,2018-07-10 12:37:51 -0700,58.9,,3.0,No seal and no alexa fill visible.,"Cell Dimmed,Cell Swelled,Too Deep",no,,nucleus_absent,-35.0,-35.0,No Bubbles,,,13:38:33 -0700,13:37:46 -0700,13:41:53 -0700,,,,,Yes,2.0.3,,2018-05-21,,,,,2018-07-10,Pvalb-IRES-Cre;Ai14-400568.04.02,,,,,,3.2,,13:28:41 -0700,13:31:19 -0700,1,ramr,VISp5,#Schedule,Good,SUCCESS,"Patch/Cell Unstable,Ended After C1",,VISp,layer 5,2018-07-10,2018-07
2018-07-09,3,Cre+,,None,,,,,3,1.0,,2018-06-14,NA,2018-07-10 14:40:33 -0700,41.9,,10.9,No seal and alexa fill visible.,"Cell Dimmed,Cell Swelled",no,,nucleus_absent,-30.0,-30.0,No Bubbles,,,15:07:00 -0700,15:06:22 -0700,15:14:31 -0700,,,,,Yes,2.0.3,,2018-05-21,,,,,2018-07-10,Sst-IRES-Cre;Ai14-400687.06.02,,,,,,4.9,,14:56:38 -0700,14:59:20 -0700,1,ramr,VISp5,#Schedule,Good,SUCCESS,Ended After C1,,VISp,layer 5,2018-07-10,2018-07
2018-07-12,3,Cre+,,None,,,,,3,1.0,,2018-06-14,NA,2018-07-13 11:23:50 -0700,73.6,,3,,"Fluorescence in Pipette,Cell Dimmed",no,,nucleus_absent,-25.0,-25.0,,,,11:38:37 -0700,11:38:23 -0700,11:40:15 -0700,,,,,Yes,2.0.3,,2018-06-27,,,,,2018-07-13,Vipr2-IRES2-Cre;Pvalb-T2A-FlpO;Ai65-400429.04.01,,,,,,3.4,,11:29:12 -0700,11:30:18 -0700,4,kristenh,VISp4,,Good,SUCCESS,,,VISp,layer 4,2018-07-13,2018-07
2018-07-13,3,Cre+,,None,,,,,3,6.0,,2018-06-14,NA,2018-07-16 10:26:01 -0700,49.2,,4.0,,Fluorescence in Pipette,no,,nucleus_absent,-25.0,-25.0,,,,11:40:53 -0700,11:40:34 -0700,11:41:52 -0700,,,,,Yes,2.0.3,,2018-06-27,,,,,2018-07-16,Npr3-IRES2-Cre;Sst-IRES-FlpO;Ai65-401243.04.01,,,,,,4.2,,11:37:34 -0700,11:38:21 -0700,4,kristenh,VISp6a,,Good,SUCCESS,,,VISp,layer 6a,2018-07-16,2018-07
2018-07-13,2,Cre+,,None,,,,,3,1.0,,2018-06-14,NA,2018-07-16 12:30:40 -0700,42.2,,5.7,No seal but alexa fill visible.,"Cell Dimmed,Cell Swelled",no,,nucleus_absent,-40.0,-40.0,No Bubbles,,,12:55:35 -0700,12:52:55 -0700,12:59:11 -0700,,,,,Yes,2.0.3,,2018-06-27,,,,,2018-07-16,Npr3-IRES2-Cre;Sst-IRES-FlpO;Ai65-401243.05.02,,,,,,5.2,,12:43:24 -0700,12:46:20 -0700,1,ramr,VISp5,#Schedule,Good,SUCCESS,"Patch/Cell Unstable,Rheobase Changed,Ended After C1",,VISp,layer 5,2018-07-16,2018-07
2018-07-16,3,Cre+,,Electroporation,,practice,,,2,4.0,,2018-07-10,NA,2018-07-17 10:00:35 -0700,40,,500.0,,,,,nucleus_absent,-30.0,-30.0,,,,13:19:41 -0700,13:18:33 -0700,13:25:54 -0700,,,,,Yes,2.0.3,,2018-06-27,,,,,2018-07-17,Sst-IRES-Cre;Ai14-402666.01.01,,,,,,5.7,,13:09:10 -0700,13:11:41 -0700,5,brianle,VISp4,,Good,SUCCESS,,,VISp,layer 4,2018-07-17,2018-07
2018-07-16,3,Cre+,,None,,,,,2,4.0,,2018-07-10,NA,2018-07-17 10:16:22 -0700,45.7,,4.7,No seal and no alexa fill visible.,"Cell Dimmed,Cell Swelled",no,,nucleus_absent,-40.0,-40.0,No Bubbles,,,12:17:16 -0700,12:13:41 -0700,12:20:45 -0700,,,,,Yes,2.0.3,,2018-06-27,,,,,2018-07-17,Sst-IRES-Cre;Ai14-402666.03.02,,,,,,5.2,,12:06:03 -0700,12:08:50 -0700,1,ramr,VISp2/3,#Health,Good,SUCCESS,"Rheobase Changed,Ended After C1",,VISp,layer 2/3,2018-07-17,2018-07
2018-07-16,1,None,,None,,,,,1,3.0,,2018-07-10,NA,2018-07-17 15:14:32 -0700,74.8,,15.1,"No Alexa fill
No Seal",Cell Swelled,no,,nucleus_absent,-49.9,-49.9,,,,16:26:24 -0700,16:25:38 -0700,16:30:07 -0700,,,,,Yes,2.0.3,,2018-06-21,,,,,2018-07-17,H18.26.405.12.05.01,,,,Pyramidal,,6.4,,16:15:30 -0700,16:16:41 -0700,7,lisak,TCx3,#Health,Good,SUCCESS,,,TCx,layer 3,2018-07-17,2018-07
2018-07-16,1,None,,None,,,,,3,5.0,,2018-07-10,NA,2018-07-17 16:54:07 -0700,85.3,,9.8,"No Alexa fill
No Seal",Cell Swelled,no,,nucleus_absent,-29.9,-29.9,,,,18:26:34 -0700,18:26:06 -0700,18:31:24 -0700,,,,,Yes,2.0.3,,2018-06-21,,,,,2018-07-17,H18.26.405.12.13.01,,,,FS Interneuron,,3.5,,18:15:09 -0700,18:16:06 -0700,7,lisak,TCx3,,Good,SUCCESS,Patch/Cell Unstable,,TCx,layer 3,2018-07-17,2018-07
2018-07-17,3,Cre+,,Electroporation,,practice,,,3,4.0,,2018-07-10,NA,2018-07-18 12:22:45 -0700,40,,150.0,,,no,,nucleus_absent,-30.0,-30.0,,,,14:08:25 -0700,14:06:48 -0700,14:18:00 -0700,,,,,Yes,2.0.3,,2018-06-27,,,,,2018-07-18,Pvalb-IRES-Cre;Ai14-402238.02.01,,,,,,4.8,,13:59:56 -0700,14:02:06 -0700,5,brianle,VISp6a,,Good,SUCCESS,,,VISp,layer 6a,2018-07-18,2018-07
2018-07-17,5,None,,None,,,,,3,5.0,,2018-07-10,NA,2018-07-18 13:25:39 -0700,40,,5.0,,,no,,nucleus_absent,-60.0,-60.0,,,,15:11:08 -0700,15:08:48 -0700,15:19:21 -0700,,,,,Yes,2.0.3,,2018-06-27,,,,,2018-07-18,H18.03.313.11.06.01,,,,Unknown Interneuron,,5.0,,14:56:11 -0700,14:57:18 -0700,6,lindsayn,TCx3,one day old,Good,SUCCESS,,,TCx,layer 3,2018-07-18,2018-07
2018-07-19,3,None,,None,,,,,3,1.0,,2018-07-10,NA,2018-07-20 11:40:38 -0700,40.9,,5,,,no,,nucleus_absent,-30.0,-50.0,,,,12:15:27 -0700,12:14:31 -0700,12:20:24 -0700,,,,,Yes,2.0.3,,2018-06-27,,,,,2018-07-20,Sst-IRES-Cre;Ai14-402667.03.02,,,,,,5.0,,11:59:01 -0700,12:00:53 -0700,3,rustym,VISp2/3,#Health,Good,SUCCESS,Patch Became Leaky,,VISp,layer 2/3,2018-07-20,2018-07
