Date,User,Rig #,File,Ephys,Trans,Morph,Pilot,Pilot Details,cell type,Slice on rig time,Time,Time to Entire-Cell,Region,Layer,Depth (um),Slice (Lims ID?),Slice health,cell health,Slice notes,extraction pressure applied (mbar),retraction pressure applied (mbar),Post patch?,Post patch pipette R,extraction.nucleus,extraction.extractionObservations,extraction.sampleObservations,extraction.extractionNotes,extraction.timeExtractionStart,extraction.timeExtractionEnd,extraction.timeRetractionEnd,recording.pipetteR,successNotes,qcNotes,acsfProductionDate,Tube_ID,"Biocytin
",Well ID #,Lims tube id,,Smarter_ID,Picogreen conc. (pg/uL),Picogreen yield (pg),BA total conc. (pg/uL),BA total yield (pg),BA total conc. (pg/uL),BA total yield (pg),Ratio >400/total,SM_QC,PCR cycles,>400 normalized to 21 pcr cycles,SM_QC_PF,Batch,Resolution index,Cluster,Genes detected,case,Notes,Date mapped,Max.node,Node.correlation,Max.leaf,Leaf.correlation,Max.node.is.leaf.,3-modality candidate,63x completed,Reconstructed (link),3-M example picked by JT,Ephys + transcriptomics example by JT,needs 63x image,prioritize for reconstruction (JT),prioritize for reconstruction (TB),"Mapped.node (20170202_MTG_exclH16_24_005_1, no glia)","Top.leaf (20170202_MTG_exclH16_24_005_1, no glia)",sdLGN,height,h.sdLGN,Resolution.index (to leaf),exp_component_name,cluster (20170619_MTG_patchseq),SdLGN (20170619_MTG_patchseq),Height (20170619_MTG_patchseq),H_SdLGN (20170619_MTG_patchseq),MarkerGenes_TopNode (20170619_MTG_patchseq),TopLeaf (20170619_MTG_patchseq),MaxLeafSdLGN (20170619_MTG_patchseq),cluster (20170619_MTG_patchseq),Score (20170627_MTG_patchseq),Height (20170627_MTG_patchseq),H_Score (20170627_MTG_patchseq),MarkerGenes_TopNode (20170627_MTG_patchseq),TopLeaf (20170627_MTG_patchseq),MaxLeafScore (20170627_MTG_patchseq),exp_component_name,Internal version,Takara RNAse inhibitor
160509,P5,,brl_160509_06,x,x,y,,,Not determined,,1742,,Right frontal,5,,H16.06.006.01.99,,,,-70,0,Nucleated,,,,,had to hold at -20,4,,,3,,good ra,,r445,0.50%,,P5S4_160509_r445_A01,P5S4_160509_r445_A01,PSM051216.06,,,,,,,,pass,,,,,,,,brl_160509,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160509,P5,,brl_160509_07,x,x,y,,,Not determined,,1758,,Right frontal,1,,H16.06.006.01.99,,,,-80,0,Nucleated,,,,,,4,,,4.7,,,,r446,0.50%,,P5S4_160509_r446_A01,P5S4_160509_r446_A01,PSM051216.07,,,,,,,,pass,,,,,,,,brl_160509,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160509,P5,,brl_160509_08,x,,y,,,Not determined,,1831,,Right frontal,2,,H16.06.006.01.99,,,,-75,0,Nucleated,,,,,,5,,,4,,,,r447,0.50%,,,,PSM051216.08,,,,,,,,fail,,,,,,,,brl_160509,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160509,P5,,brl_160509_09,x,,y,,,Unknown interneuron,,1849,,Right frontal,2,,H16.06.006.01.99,,,,-75,0,Nucleated,,,,,,3,,,3.5,,slightly leaky at first,,r448,0.50%,,,,PSM051216.09,,,,,,,,fail,,,,,,,,brl_160509,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160509,P5,,brl_160509_10,x,,y,,,Pyramidal,,1909,,Right frontal,5,,H16.06.006.01.99,,,,-75,0,missing,,,,,had to hold at -20,7,,,3.9,,,,r449,0.50%,,,,PSM051216.10,,,,,,,,fail,,,,,,,,brl_160509,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160509,P3,,jtt_01,,,,,,,,,,,,,,,,,,,Nucleated,,,,,,,,,,,,,r453,0.50%,,,,PSM051216.14,,,,,,,,fail,,,,,,,,jtt_01,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160516,P5,,brl_160516_01,x,,n,,,Not determined,,1604,,Left frontal,2,,,,,,-75,0,Outside-Out,,,,,,3,,,4.2,,,,11,0.50%,Ephys_160516_06_A01_extraction_VER2,,,PSM052316.01,,,,,,,,fail,,,,,,,,brl_160516,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160516,P5,,brl_160516_02,x,,y,,,Not determined,,1620,,Left frontal,2,,,,,,-90,0,Nucleated,,,,,swelling,4.5,,,4.1,,,,13,0.50%,,,,PSM052316.03,,,,,,,,fail,,,,,,,,brl_160516,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160516,P5,,brl_160516_03,x,,y,,,Not determined,,1637,,Left frontal,3,,,,,,-95,0,Nucleated,,,,,,3,,,3.8,,,,14,0.50%,,,,PSM052316.04,,,,,,,,fail,,,,,,,,brl_160516,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160516,P5,,brl_160516_04,x,,n,,,Unknown interneuron,,1652,,Left frontal,Not determined,,,,,,-80,0,No-Seal,,,,,lsot seal but material still visible in pipette,3.5,,,3.9,,,,15,0.50%,,,,PSM052316.05,,,,,,,,fail,,,,,,,,brl_160516,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160516,P5,,brl_160516_05,x,x,y,,,Not determined,,1707,,Left frontal,2,,,,,,-90,0,Nucleated,,,,,,3,,,4.3,,little leaky,,16,0.50%,,,,PSM052316.06,,,,,,,,fail,,,,,,,,brl_160516,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160516,P3,,jtt_01,,,n,,,Not determined,,,,Left frontal,Not determined,,,,,,,,,,,,,,,,,,,,,17,,,,,PSM052316.07,,,,,,,,pass,,,,,,,,jtt_01,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
160516,P5,,brl_160516_06,x,,n,,,Unknown interneuron,,1737,,Left frontal,Not determined,,,,,,-90,0,No-Seal,,,,,lost seal at min 4,2,,,4.7,,,,18,0.50%,,,,PSM052316.08,,,,,,,,fail,,,,,,,,brl_160516,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160516,P5,,brl_160516_07,x,x,y,,,Not determined,,1749,,Left frontal,3,,,,,,-95,0,Outside-Out,,,,,,4,,,4.9,,pulses at -20,,19,0.50%,,,,PSM052316.09,,,,,,,,pass,,,,,,,,brl_160516,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160520,P3,,"sample01, cell01",x,x,na,,,Not determined,,,,Left frontal,Not determined,,,,,,missing,,Nucleated,,,,,Nucleated patch,,,,,,,,1,,,P3S4_160520_001_A01,P3S4_160520_001_A01,,,,1.465,,,0.987,6700%,Pass,21,,0.97,285-813,0.782024,L2-L3|a,9634,"sample01, ",,12/20/2016,LeafOnly___cl5_Excit_L5b.Cdh13_35__L2_41_2.33_PDGFD,0.591782636,LeafOnly___cl5_Excit_L5b.Cdh13_35__L2_41_2.33_PDGFD,0.591782636,TRUE,,,,,X-verify,,,,cl1_e778_LOC101929507_L5b.Cdh13_L2.1,cl1_e778_LOC101929507_L5b.Cdh13_L2.1,0.97,1,0.97,0.97,RS1SS-161025-01_E12-50_S01,cl2_e1131_ACVR1C_L5b.Cdh13_L2.2,0.88,1,0.88,"COL15A1, NFIB, NPNT, PTHLH, COL11A1, GSG1L, LOC105369407, PDE3A, LDLRAD3",cl2_e1131_ACVR1C_L5b.Cdh13_L2.2,0.88,cl2_e1131_ACVR1C_L5b.Cdh13_L2.2,0.85,1,0.85,"DACH1, TLL1, CBLN2, CNTNAP3P2, CNTNAP3B, GRID2, CNTNAP3, QKI, LOC105372079, KLHL5, TSHZ1, ZNF804A, FIGN, TRPS1",cl2_e1131_ACVR1C_L5b.Cdh13_L2.2,0.85,RS1SS-161025-01_E12-50_S01,,
160520,P3,,"sample04, cell03",x,x,na,,,Pyramidal,,,,Left frontal,Not determined,,,,,,missing,,missing,,,,,,,,,,,,,4,,,P3S4_160520_004_A01,P3S4_160520_004_A01,,,,0.335,,,0.18,5400%,Pass - marginal,21,,0.84,285-813,0.365141,Excitatory,3810,"sample04, ",,12/20/2016,BranchInTree___n23,0.269313164,LeafOnly___cl5_Excit_L5b.Cdh13_35__L2_41_2.33_PDGFD,0.262397717,FALSE,,,,,,,,,cl1_e778_LOC101929507_L5b.Cdh13_L2.1,cl1_e778_LOC101929507_L5b.Cdh13_L2.1,0.84,1,0.84,0.84,RS1SS-161025-01_E12-50_S02,n37,1,0.413189,0.52,"SYNPR, COL4A2, AFF2",cl20_e310_TTC6_L5b.Cdh13_L2.0,0.52,n38,0.61,0.433383,0.512036,LOC105377390,cl20_e310_TTC6_L5b.Cdh13_L2.0,0.5,RS1SS-161025-01_E12-50_S02,,
160520,P3,,"sample06, cell04",x,X,na,,,Fast spiking interneuron,,,,Left frontal,Not determined,,,,,,missing,,missing,,,,,debris visualized on tip,,,,,,,,6,,,P3S4_160520_006_A01,P3S4_160520_006_A01,,,,0.24,,,0.129,5400%,pass,21,,0.401,285-813,0,FAIL,4889,"sample06, ",,12/20/2016,BranchInTree___n35,0.114230331,LeafOnly___cl105_Inhib_Pvalb.Wt1_100__L5_60_4.00_PVALB,0.092393399,FALSE,,,,,,,,,n17,cl21_i276_PVALB_Pvalb.Wt1_L3.9,0.62,0.552,0.401,0.26,RS1SS-161025-01_E12-50_S03,n30,0.62,0.689327,0.583823,"COL24A1, SERPINE2, MEIS2, PVT1, CDH11, LINC01378, FAM196B, DOCK2",cl50_i88_EDNRA_Sst.Tacstd2_L4.2,0.32,n29,0.88,0.634688,0.565951,"LINC01322, CCDC68",cl50_i88_EDNRA_Sst.Tacstd2_L4.2,0.23,RS1SS-161025-01_E12-50_S03,,
160520,P3,,"sample07, cell05",x,x,na,,,Pyramidal,,,,Left frontal,Not determined,,,,,,missing,,missing,,,,,prominent lipofuscin,,,,,,,,7,,,P3S4_160520_007_A01,P3S4_160520_007_A01,,,,1.356,,,0.917,6800%,Pass,21,,0.88,285-813,1,Exc L2-3 LINC00507 FREM3,10887,"sample07, ",,12/20/2016,BranchInTree___n23,0.46271909,LeafOnly___cl18_Excit_L5b.Samd3_44__L3_71_3.21_ROS1,0.462153856,FALSE,,,,,,,,,cl10_e382_ONECUT2_L5b.Samd3_L3.2,cl10_e382_ONECUT2_L5b.Samd3_L3.2,0.88,1,0.88,0.88,RS1SS-161025-01_E12-50_S04,cl22_e1230_SGK223_L5b.Samd3_L3.0,1,1,1,LINC01322,cl22_e1230_SGK223_L5b.Samd3_L3.0,1,cl22_e1230_SGK223_L5b.Samd3_L3.0,1,1,1,LOC105377390,cl22_e1230_SGK223_L5b.Samd3_L3.0,1,RS1SS-161025-01_E12-50_S04,,
160520,P3,,"sample11, cell06",x,x,na,,,Unknown interneuron,,,,Left frontal,Not determined,,,,,,missing,,missing,,,,,,,,,,,,,11,,,P3S4_160520_011_A01,P3S4_160520_011_A01,,,,0.69,,,0.662,9600%,Pass,21,,0.751,285-813,1,Inh L1-2 VIP PCDH20,9550,"sample11, ",,12/20/2016,BranchInTree___n12,0.538136849,LeafOnly___cl27_Inhib_Vip.Chat_37__L3_32_3.56_CHRNA2,0.525277637,FALSE,,,,,,,,,cl45_i61_CHRNA2_Vip.Mybpc1_L3.4,cl45_i61_CHRNA2_Vip.Mybpc1_L3.4,0.56,1,0.751,0.56,RS1SS-161025-01_E12-50_S05,cl94_i37_RGS16_Vip.Mybpc1_L1.7,1,1,1,"GABRB1, ASIC2, CHL1, SYNPR, PDE4B, MAP3K5, GPC6, RPH3A",cl94_i37_RGS16_Vip.Mybpc1_L1.7,1,cl94_i37_RGS16_Vip.Mybpc1_L1.7,1,1,1,"GABRB1, CACNA2D3",cl94_i37_RGS16_Vip.Mybpc1_L1.7,1,RS1SS-161025-01_E12-50_S05,,
160520,P3,,"sample13, cell07",x,x,na,,,Pyramidal,,,,Left frontal,Not determined,,,,,,missing,,missing,,,,,,,,,,,,,13,,,P3S4_160520_013_A01,P3S4_160520_013_A01,,,,2.273,,,1.937,8500%,Pass,21,,0.449,285-813,0.782024,L2-L3|a,12147,"sample13, ",,12/20/2016,BranchInTree___n23,0.309162734,LeafOnly___cl5_Excit_L5b.Cdh13_35__L2_41_2.33_PDGFD,0.281462632,FALSE,,,,,,,,,n24,cl10_e382_ONECUT2_L5b.Samd3_L3.2,0.59,0.549,0.449,0.36,RS1SS-161025-01_E12-50_S06,cl22_e1230_SGK223_L5b.Samd3_L3.0,0.91,1,0.91,LOC105377390,cl22_e1230_SGK223_L5b.Samd3_L3.0,0.91,cl22_e1230_SGK223_L5b.Samd3_L3.0,0.93,1,0.93,"PDZRN3, RORB, NPTXR, ST6GALNAC5, CCK, PDE7B",cl22_e1230_SGK223_L5b.Samd3_L3.0,0.93,RS1SS-161025-01_E12-50_S06,,
160520,P3,,"sample14, cell08",x,x,na,,,Pyramidal,,,,Left frontal,Not determined,,,,,,missing,,Nucleated,,,,,"prominent lipofuscin, Nucleated patch",,,,,,,,14,,,P3S4_160520_014_A01,P3S4_160520_014_A01,,,,0.716,,,0.515,7200%,Pass,21,,0.63,,,,,"sample14, ",,12/20/2016,LeafOnly___cl94_Excit_L5b.Cdh13_75__L5_75_4.50_MYZAP,0.199657635,LeafOnly___cl94_Excit_L5b.Cdh13_75__L5_75_4.50_MYZAP,0.199657635,TRUE,,,,,X-verify,,,,cl10_e382_ONECUT2_L5b.Samd3_L3.2,cl10_e382_ONECUT2_L5b.Samd3_L3.2,0.63,1,0.63,0.63,RS1SS-161025-01_E12-50_S07,cl22_e1230_SGK223_L5b.Samd3_L3.0,0.96,1,0.96,"UNC5A, THSD7A, NECAB1, ZMAT4, ADRA1B, CHST15, OSBPL3, PTK2B, CPNE2, VWC2L, CSGALNACT1, KIT",cl22_e1230_SGK223_L5b.Samd3_L3.0,0.96,cl22_e1230_SGK223_L5b.Samd3_L3.0,0.97,1,0.97,"CHST9, PRKG1, HCRTR2, SOX6, ITGA8, LOC105377574, SYTL5, ALCAM, GULP1, LOC101928964, ASPM, SULF1, CALB1, GAP43",cl22_e1230_SGK223_L5b.Samd3_L3.0,0.97,RS1SS-161025-01_E12-50_S07,,
160621,P5,,brl_160621_01,,x,na,,,Not determined,,1350,,Right frontal,2,,0900 case,,,,,,Entire-Cell,,,,,"couldnt get seal, ended up sucking up Entire-Cell into pipette",,,,,,,,h021,,did not keep slice,P1S4_160621_h021_A01,P1S4_160621_h021_A01,PSM062216.23,,,,,,,,pass,,,,,,,,brl_160621,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
160621,P5,,brl_160621_02,x,x,na,,,Unknown interneuron,,1402,,Right frontal,2,,0900 case,,,,56,,Entire-Cell,,,,,"at min 3, Entire-Cell sucked up into pipette",2,,,2.3,,"not healthy, very depolarized",,h022,0.50%,,P1S4_160621_h022_A01,P1S4_160621_h022_A01,PSM062216.24,,,,,,,,pass,,,,,,,,brl_160621,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,0.5
160621,P5,,brl_160622_03,x,x,na,,,Not determined,,707,,Right temporal,2,,1530 case slice a,,,,50,,Nucleated,,,,,,5,,,3.4,,,,h023,0.50%,brl_160621,P1S4_160621_h023_A01,P1S4_160621_h023_A01,PSM062216.25,,,,,,,,pass,,,,,,,,brl_160622,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,0.5
160621,P5,,brl_160622_04,x,,na,,,Not determined,,836,,Right temporal,2,,slice b,,,,45,,Outside-Out,,,,,tissue swelling?,2,,,3.2,,,,h024,0.50%,brl_160622,,,PSM062216.26,,,,,,,,fail,,,,,,,,brl_160622,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,0.5
160621,P5,,brl_160622_05,x,,na,,,Unknown,,934,,Right temporal,2,,slice b,,,,45,,Nucleated,,,,,,,,,2.5,,,,h025,0.50%,,,,PSM062216.27,,,,,,,,fail,,,,,,,,brl_160622,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,0.5
160621,P5,,brl_160622_06,x,,na,,,Fast spiking interneuron,,1001,,Right temporal,Not determined,,slice b,,,,55,,No-Seal,,,,,lost seal at min 3.5; solution went up shank in tube,2,,,2.2,,,,h026,0.50%,,,,PSM062216.28,,,,,,,,fail,,,,,,,,brl_160622,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,0.5
160621,P5,,brl_160622_07,x,,na,,,Not determined,,1026,,Right temporal,Not determined,,slice b,,,,45,,Outside-Out,,,,,,3,,,2.4,,,,h027,0.50%,,,,PSM062216.29,,,,,,,,fail,,,,,,,,brl_160622,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,0.5
160621,P5,,brl_160622_08,x,,na,,,Pyramidal,,1048,,Right temporal,3,,slice b,,,,60,,Outside-Out,,,,,,3,,,4,,,,h028,0.50%,,,,PSM062216.30,,,,,,,,fail,,,,,,,,brl_160622,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,0.5
160628,P3,,"sample01, cell03",x,x,na,,,Pyramidal,,,,Right temporal,Not determined,,,,,,,,Nucleated,,,,,"nucleus sucking all the way into pipette, debris?
",,,,,,,,1,,,P3S4_160628_001_A01,P3S4_160628_001_A01,,,,1.231,,,0.552,4500%,Pass - marginal,19,,0.816,285-813,1,Exc L4-5 RORB FOLH1B,8263,"sample01, ",,12/20/2016,BranchInTree___n29,0.408388346,LeafOnly___cl2_Excit_L5a.Deptor_Pacsin2_80__L5_52_4.44_NPY2R,0.389727923,FALSE,,,,,,,,,n36,cl40_e122_LOC105374972_L5a.Deptor_Pacsin2_L4.4,0.61,0.887,0.816,0.39,RS1SS-161025-01_E12-50_S08,cl5_e430_NPY2R_L5a.Deptor_Pacsin2_L4.5,0.79,1,0.817888,LOC105377390,cl5_e430_NPY2R_L5a.Deptor_Pacsin2_L4.5,0.79,cl5_e430_NPY2R_L5a.Deptor_Pacsin2_L4.5,0.75,1,0.817888,"PRKG1, FAM19A1, NFIB, PHACTR2, MGAT4C, ARSJ, LOC105377390, GRIK3, SPHKAP, UTRN, LINC01378, SLIT3, GDA, PTPRZ1, CDH7, PLAGL1, MKX, TRABD2A, GULP1",cl5_e430_NPY2R_L5a.Deptor_Pacsin2_L4.5,0.75,RS1SS-161025-01_E12-50_S08,,
