project,cell_specimen_id,link_cell_specimen,cell_specimen_name,cell_or_cluster,hemisphere,flipped,link_slice_specimen,slice_histology_well,slice_biocytin_well,slide20x_barcode,patched_cell_container,ephys_roi_result_id,recording_date,ephys_seal_gohm,tcp_sop,ephys_qc,rna_amplification_set,rna_amplification_qc,ephys_published_at,labtracks_id,reporters,drivers,cell_reporter,structure,cortex_layer,dendrite_type,apical,pin_z_coord,nwb_ready,has_nwb_download,image_series_20x_id,image_series_20x_qc,psw_20x_annotations,layer_20x_annotations,image_series_20x_tags,link_ims_20x,check_slide,ims63x_go_no_go,ims63x_imaging_started,image_series_63x_id,image_series_63x_qc,link_ims_63x,has_morph_thumb,MorphologyThumbnail,HighResMorphologyThumbnail,has_inst_thres_thumb,has_sum_thumb,has_glif1,has_glif2,has_glif3,has_glif4,has_glif5,has_biophysical,has_active_dendrite,nwb_filename,swc_filename,marker_filename,swc_published_at,disease_state,mip_link,depth_from_pia,1_2_NA_objective
mIVSCC-MET,717472464,http://lims2/specimens?id=717472464,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.03.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.03.02,EPhys_180702_03_B05_M,BIOCYTIN_180710_03_B05,535182849,P2S4_180706_051_A01,717472024,7/6/2018 18:31,4.870125568,V1 Coronal 107,auto_failed,A8S4_180713_06,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp5,,,,8462.527657,,,720318654,qc,,,,http://lims2/focal_plane_image_series?id=720318654,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,717546699,http://lims2/specimens?id=717546699,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.03.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.03.02,EPhys_180702_03_B05_M,BIOCYTIN_180710_03_B05,535182849,P2S4_180706_052_A01,717545891,7/6/2018 19:03,1.7960256,V1 Coronal 107,auto_failed,A8S4_180713_06,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp5,,,,7616.277061,,,720318654,qc,,,,http://lims2/focal_plane_image_series?id=720318654,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,717604118,http://lims2/specimens?id=717604118,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.03.02.03,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.03.02,EPhys_180702_03_B05_M,BIOCYTIN_180710_03_B05,535182849,P2S4_180706_053_A01,717603711,7/6/2018 19:34,6.746379776,V1 Coronal 107,auto_failed,A8S4_180713_06,failed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,720318654,qc,,,,http://lims2/focal_plane_image_series?id=720318654,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,717988688,http://lims2/specimens?id=717988688,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.04.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.04.01,EPhys_180702_03_B01_M,BIOCYTIN_180710_03_B01,535184689,P1S4_180706_001_A01,717988471,22:41.9,0.15097256,V1 Coronal 107,auto_failed,A8S4_180713_06,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,720318433,qc,,,,http://lims2/focal_plane_image_series?id=720318433,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,718009057,http://lims2/specimens?id=718009057,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.04.01.02,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.04.01,EPhys_180702_03_B01_M,BIOCYTIN_180710_03_B01,535184689,P1S4_180706_002_A01,718008882,36:03.1,0.205298832,V1 Coronal 107,auto_failed,A8S4_180713_06,failed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,720318433,qc,,,,http://lims2/focal_plane_image_series?id=720318433,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,718016004,http://lims2/specimens?id=718016004,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.04.01.03,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.04.01,EPhys_180702_03_B01_M,BIOCYTIN_180710_03_B01,535184689,P1S4_180706_003_A01,718015810,57:46.7,0.297850048,V1 Coronal 107,auto_failed,A8S4_180713_06,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,720318433,qc,,,,http://lims2/focal_plane_image_series?id=720318433,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,718022104,http://lims2/specimens?id=718022104,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.04.01.04,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.04.01,EPhys_180702_03_B01_M,BIOCYTIN_180710_03_B01,535184689,P1S4_180706_004_A01,718021901,11:14.6,0.236858416,V1 Coronal 107,auto_failed,A8S4_180713_06,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,720318433,qc,,,,http://lims2/focal_plane_image_series?id=720318433,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,717346741,http://lims2/specimens?id=717346741,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.04.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.04.02,EPhys_180702_03_A05_M,BIOCYTIN_180710_03_A05,535179719,PAS4_180706_451_A01,717346576,7/6/2018 16:37,2.491312896,V1 Coronal 107,auto_failed,A8S4_180718_07,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,720318301,qc,,,,http://lims2/focal_plane_image_series?id=720318301,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,717409833,http://lims2/specimens?id=717409833,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.04.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.04.02,EPhys_180702_03_A05_M,BIOCYTIN_180710_03_A05,535179719,PAS4_180706_452_A01,717409597,7/6/2018 17:48,5.271728128,V1 Coronal 107,auto_failed,A8S4_180718_07,failed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,720318301,qc,,,,http://lims2/focal_plane_image_series?id=720318301,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,717472907,http://lims2/specimens?id=717472907,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.05.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.05.01,EPhys_180702_03_B03_M,BIOCYTIN_180710_03_B03,535184321,PAS4_180706_453_A01,717472645,7/6/2018 18:37,3.994518016,V1 Coronal 107,auto_failed,A8S4_180718_07,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,720318591,qc,,,,http://lims2/focal_plane_image_series?id=720318591,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,717355259,http://lims2/specimens?id=717355259,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.05.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.05.02,EPhys_180702_03_A06_M,BIOCYTIN_180710_03_A06,535179535,P8S4_180706_351_A01,717354808,7/6/2018 16:59,1.65912704,V1 Coronal 107,auto_failed,A8S4_180713_06,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp4,,,,7759.072234,,,720318324,qc,,,,http://lims2/focal_plane_image_series?id=720318324,,63x go,63x imaging started,750576314,image_qc_passed,http://lims2/focal_plane_image_series?id=750576314,,,,,,,,,,,,,,,,,,http://lims2/siv?sub_image=750728696,,
mIVSCC-MET,717393031,http://lims2/specimens?id=717393031,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.05.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.05.02,EPhys_180702_03_A06_M,BIOCYTIN_180710_03_A06,535179535,P8S4_180706_352_A01,717392725,7/6/2018 17:34,1.818072064,V1 Coronal 107,auto_failed,A8S4_180713_06,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp2/3,,,,7426.664645,,,720318324,qc,,,,http://lims2/focal_plane_image_series?id=720318324,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,717420593,http://lims2/specimens?id=717420593,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.05.02.03,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.05.02,EPhys_180702_03_A06_M,BIOCYTIN_180710_03_A06,535179535,P8S4_180706_353_A01,717420146,7/6/2018 17:59,1.326243968,V1 Coronal 107,auto_failed,A8S4_180713_06,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISpm2/3,,,,7080.415109,,,720318324,qc,,,,http://lims2/focal_plane_image_series?id=720318324,,63x go,63x imaging started,750579546,image_qc_passed,http://lims2/focal_plane_image_series?id=750579546,,,,,,,,,,,,,,,,,,http://lims2/siv?sub_image=750729462,,
mIVSCC-MET,724583974,http://lims2/specimens?id=724583974,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-403169.03.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-403169.03.01,EPhys_180723_02_A04_M,BIOCYTIN_180731_02_A04,500370564,P2S4_180725_051_A01,724583668,7/25/2018 17:57,1.04751072,V1 Coronal 90,auto_failed,A8S4_180731_08,passed,,403169,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp5,,,,7539.970745,,,732394925,qc,,,,http://lims2/focal_plane_image_series?id=732394925,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,724633921,http://lims2/specimens?id=724633921,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-403169.03.01.02,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-403169.03.01,EPhys_180723_02_A04_M,BIOCYTIN_180731_02_A04,500370564,P2S4_180725_052_A01,724633658,7/25/2018 18:30,1.091782912,V1 Coronal 90,auto_failed,A8S4_180731_08,passed,,403169,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp5,,,,8078.143854,,,732394925,qc,,,,http://lims2/focal_plane_image_series?id=732394925,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,724670298,http://lims2/specimens?id=724670298,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-403169.03.01.03,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-403169.03.01,EPhys_180723_02_A04_M,BIOCYTIN_180731_02_A04,500370564,P2S4_180725_053_A01,724670068,7/25/2018 19:05,1.306901248,V1 Coronal 90,auto_failed,A8S4_180731_08,passed,,403169,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp6a,,,,8226.956517,,,732394925,qc,,,,http://lims2/focal_plane_image_series?id=732394925,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,724701244,http://lims2/specimens?id=724701244,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-403169.03.01.04,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-403169.03.01,EPhys_180723_02_A04_M,BIOCYTIN_180731_02_A04,500370564,P2S4_180725_054_A01,724701213,7/25/2018 19:37,2.780791552,V1 Coronal 90,auto_failed,A8S4_180731_08,passed,,403169,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,732394925,qc,,,,http://lims2/focal_plane_image_series?id=732394925,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,724810448,http://lims2/specimens?id=724810448,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-403169.03.02.01,Cell,,unknown,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-403169.03.02,EPhys_180723_02_B04_M,BIOCYTIN_180731_02_B04,500372406,PBS4_180725_506_A01,724810432,7/25/2018 22:58,1.750953472,V1 Coronal 90,auto_failed,A8S4_180802_08,passed,,403169,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,,VISp,,,,,,,732402324,qc,,,,http://lims2/focal_plane_image_series?id=732402324,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,724655827,http://lims2/specimens?id=724655827,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-403169.04.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-403169.04.01,EPhys_180723_02_A02_M,BIOCYTIN_180731_02_A02,500371484,PBS4_180725_502_A01,724655750,7/25/2018 18:58,1.37988416,V1 Coronal 90,auto_failed,A8S4_180731_08,passed,,403169,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,,VISp4,,,,7743.509142,,,732392760,qc,,,,http://lims2/focal_plane_image_series?id=732392760,,63x go,63x imaging started,753398251,image_qc_passed,http://lims2/focal_plane_image_series?id=753398251,,,,,,,,,,,,,,,,,,http://lims2/siv?sub_image=753931050,,
mIVSCC-MET,724616748,http://lims2/specimens?id=724616748,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-403169.04.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-403169.04.02,EPhys_180723_02_A01_M,BIOCYTIN_180731_02_A01,500371668,P1S4_180725_001_A01,724616532,36:01.6,5.783521792,V1 Coronal 90,auto_failed,A8S4_180731_08,passed,,403169,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,732391696,qc,,,,http://lims2/focal_plane_image_series?id=732391696,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,724670555,http://lims2/specimens?id=724670555,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-403169.05.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-403169.05.01,EPhys_180723_02_A03_M,BIOCYTIN_180731_02_A03,500371116,P9S4_180725_401_A01,724670406,7/25/2018 19:18,3.541491712,V1 Coronal 90,auto_failed,A8S4_180731_08,passed,,403169,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp5,,,,7413.999551,,,732394157,qc,,,,http://lims2/focal_plane_image_series?id=732394157,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,724562286,http://lims2/specimens?id=724562286,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-403169.05.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-403169.05.02,EPhys_180723_02_A05_M,BIOCYTIN_180731_02_A05,500372772,PAS4_180725_451_A01,724562046,7/25/2018 17:41,2.97490304,V1 Coronal 90,auto_failed,A8S4_180731_08,failed,,403169,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,732395419,qc,,,,http://lims2/focal_plane_image_series?id=732395419,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,724603706,http://lims2/specimens?id=724603706,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-403169.05.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-403169.05.02,EPhys_180723_02_A05_M,BIOCYTIN_180731_02_A05,500372772,PAS4_180725_452_A01,724603547,7/25/2018 18:15,4.054992128,V1 Coronal 90,auto_failed,A8S4_180731_08,passed,,403169,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp5,,,,3394.077587,,,732395419,qc,,,,http://lims2/focal_plane_image_series?id=732395419,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,724634038,http://lims2/specimens?id=724634038,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-403169.05.02.03,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-403169.05.02,EPhys_180723_02_A05_M,BIOCYTIN_180731_02_A05,500372772,PAS4_180725_453_A01,724633963,7/25/2018 18:39,6.901305856,V1 Coronal 90,auto_failed,A8S4_180731_08,passed,,403169,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp5,,,,3321.735456,,,732395419,qc,,,,http://lims2/focal_plane_image_series?id=732395419,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,724701355,http://lims2/specimens?id=724701355,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-403169.05.02.04,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-403169.05.02,EPhys_180723_02_A05_M,BIOCYTIN_180731_02_A05,500372772,PAS4_180725_454_A01,724701307,7/25/2018 19:49,4.165616128,V1 Coronal 90,auto_failed,A8S4_180731_08,passed,,403169,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp6a,,,,2568.865512,,,732395419,qc,,,,http://lims2/focal_plane_image_series?id=732395419,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
