,sample_id,cell_name,roi,cDNA quality (%>400 bp),RNA Amp Pass/Fail,Amplified content (ng),Genes detected,cell_specimen_project,Morpho call(63x),Imaging status,Normalized marker sum,NMS Pass/Fail,seurat_cluster_label,Seurat prediction score,broad_class_label,subclass_label,Tree_call,region,layer,imaging_recon
912,PES4_190122_662_A01,H19.03.302.11.08.01.07,TCx_L4,71.7,Pass,12.77107019,8862,hIVSCC-MET,No Go,,0.65407786,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
913,PES4_190305_652_A01,H19.03.305.11.08.01.03,TCx_L4,73.4,Pass,16.90191275,11313,hIVSCC-MET,Go,Ready for dendrite trace,1.024542823,Pass,Exc L3-5 RORB ESR1,0.815829497,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
914,PES4_190321_652_A01,H19.06.351.11.10.01.02,TCx_L4,60.8,Pass,17.7930819,11308,hIVSCC-MET,No Go,,0.948133894,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
915,PES4_190321_657_A01,H19.06.351.11.10.01.07,TCx_L4,63.7,Pass,22.36820719,11679,hIVSCC-MET,Go,Ready for dendrite trace,0.962945051,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
916,PES4_190416_657_A01,H19.03.308.11.15.01.02,TCx_L4,59.1,Pass,18.18002668,11142,hIVSCC-MET,Go,Deferred,0.945589344,Pass,Exc L3-5 RORB ESR1,0.999451478,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Failed Reconstructions
917,PES4_190416_660_A01,H19.03.308.11.15.01.05,TCx_L4,56.8,Pass,18.46589214,10637,hIVSCC-MET,Go,Image QC passed,0.812426818,Pass,Exc L3-5 RORB ESR1,0.99664104,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
918,PES4_190604_655_A01,H19.03.313.11.05.01.02,TCx_L4,51.9,Pass,18.25534436,9871,hIVSCC-MET,Go,Deferred,0.948603478,Pass,Exc L3-5 RORB ESR1,0.937883948,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Failed Reconstructions
919,PES4_190604_657_A01,H19.03.313.11.05.01.04,TCx_L4,63.2,Pass,20.56565179,11663,hIVSCC-MET,No Go,,0.724403376,Pass,Exc L3-5 RORB ESR1,0.947859273,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
920,PES4_190618_655_A01,H19.03.314.12.12.01.03,TCx_L4,61.1,Pass,27.63159202,11510,hIVSCC-MET,Go,Ready for dendrite trace,1.015105371,Pass,Exc L3-5 RORB ESR1,0.975862539,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
921,PES4_190709_662_A01,H19.03.315.11.09.01.04,TCx_L4,56.5,Pass,15.43236816,11665,hIVSCC-MET,No Go,,0.845045086,Pass,Exc L3-5 RORB ESR1,0.825197242,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
922,PES4_190723_657_A01,H19.03.317.11.10.01.07,TCx_L4,62.1,Pass,11.24659488,11384,hIVSCC-MET,No Go,,0.661582137,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
923,PES4_190723_658_A01,H19.03.317.11.10.01.09,TCx_L4,56.1,Pass,11.1936435,8423,hIVSCC-MET,No Go,,0.835455354,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
924,PES4_190723_660_A01,H19.03.317.11.10.01.11,TCx_L4,77.5,Pass,10.63756602,10830,hIVSCC-MET,Go,Ready for dendrite trace,0.875613734,Pass,Exc L3-5 RORB ESR1,0.960123718,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
925,PES4_191105_651_A01,H19.03.321.12.02.01.01,TCx_L4,52.8,Pass,10.31467503,10145,hIVSCC-MET,Go,,0.903745834,Pass,Exc L3-5 RORB ESR1,0.828577183,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
926,PES4_200204_657_A01,H20.03.303.11.03.01.02,TCx_L4,49.3,Pass,14.33266913,9335,hIVSCC-MET,,,0.884819113,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
927,PFS4_190122_701_A01,H19.03.302.11.15.02.05,TCx_L4,65,Pass,11.6862339,9965,hIVSCC-MET,Go,Ready for dendrite trace,1.020908201,Pass,Exc L3-5 RORB ESR1,0.989637838,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
928,PFS4_190122_702_A01,H19.03.302.11.04.01.01,TCx_L4,70.4,Pass,12.49947836,11570,hIVSCC-MET,No Go,,1.049097934,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
929,PFS4_190122_704_A01,H19.03.302.11.04.01.06,TCx_L4,79,Pass,28.5007695,13098,hIVSCC-MET,No Go,,0.942591904,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
930,PFS4_190417_705_A01,H19.03.308.12.02.01.06,TCx_L4,69.5,Pass,24.87576351,11093,hIVSCC-MET,No Go,,0.805599717,Pass,Exc L3-5 RORB ESR1,0.857226093,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
931,PFS4_190514_703_A01,H19.03.311.14.04.01.01,TCx_L4,41.2,Pass,13.38267689,8785,hIVSCC-MET,No Go,,0.781407639,Pass,Exc L3-5 RORB ESR1,0.997806395,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
932,PFS4_190514_704_A01,H19.03.311.14.04.01.03,TCx_L4,43.1,Pass,10.01490788,8639,hIVSCC-MET,No Go,,0.72351989,Pass,Exc L3-5 RORB ESR1,0.986383912,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
933,PFS4_190603_702_A01,H19.06.356.11.07.01.02,TCx_L4,68.2,Pass,13.60470172,10525,hIVSCC-MET,No Go,,0.904892904,Pass,Exc L3-5 RORB ESR1,0.866370839,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
934,PFS4_190709_710_A01,H19.03.315.11.12.01.01,TCx_L4,68.6,Pass,23.94770133,12228,hIVSCC-MET,Go,Ready for dendrite trace,1.053025278,Pass,Exc L3-5 RORB ESR1,0.998943579,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
935,PFS4_191105_706_A01,H19.03.321.11.05.01.01,TCx_L4,54.1,Pass,13.19457737,10727,hIVSCC-MET,Go,,0.864297384,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
936,PHS4_190211_205_A01,H19.29.142.11.22.05,FCx_LL4,52.8,Pass,2.941105653,7073,hIVSCC-METx,,,0.662663254,Pass,Exc L3-5 RORB ESR1,0.981196716,Glutamatergic neuron,IT (L3-5),Core,FCx,L4,Possible Reconstructions
939,P2S4_190709_051_A01,H19.03.315.11.05.01.01,TCx_L4,44.9,Pass,38.13797644,12127,hIVSCC-MET,No Go,,0.847754249,Pass,Exc L3-5 RORB ESR1,0.651779907,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
940,P8S4_190425_356_A01,H19.03.310.11.06.02.05,FCx_L4,63.2,Pass,13.29597714,8837,hIVSCC-MET,No Go,,0.905721411,Pass,Exc L3-5 RORB ESR1,0.991489172,Glutamatergic neuron,IT (L3-5),Core,FCx,L4,Possible Reconstructions
941,P8S4_200204_355_A01,H20.03.303.11.04.01.02,TCx_L4,61.4,Pass,10.03078108,9592,hIVSCC-MET,,,0.814205198,Pass,Exc L3-5 RORB ESR1,0.869093265,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
942,PAS4_200121_454_A01,H20.03.302.11.10.01.06,TCx_L4,60.9,Pass,12.00581834,9456,hIVSCC-MET,No Go,,0.860445264,Pass,Exc L3-5 RORB ESR1,0.969927672,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
943,PES4_190603_661_A01,H19.06.356.11.08.02.11,TCx_L4,70.3,Pass,12.08536899,8771,hIVSCC-MET,Go,Deferred,0.719648973,Pass,Exc L3-5 RORB ESR1,0.985465222,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Failed Reconstructions
944,PES4_190618_654_A01,H19.03.314.12.12.01.02,TCx_L4,62.2,Pass,27.94129928,11214,hIVSCC-MET,Go,Deferred,1.033613269,Pass,Exc L3-5 RORB ESR1,0.802128678,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Failed Reconstructions
945,PFS4_190122_707_A01,H19.03.302.11.04.01.09,TCx_L4,72.5,Pass,21.91504667,11939,hIVSCC-MET,Go,Ready for dendrite trace,0.827697924,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
947,PFS4_200121_703_A01,H20.03.302.11.09.02.04,TCx_L4,53.1,Pass,14.02571501,9341,hIVSCC-MET,Go,,0.801427842,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
948,P2S4_190514_054_A01,H19.03.312.11.05.01.03,FCx_L4,60.4,Pass,23.95717275,12726,hIVSCC-MET,No Go,,0.863310459,Pass,Exc L3-5 RORB ESR1,0.951913732,Glutamatergic neuron,IT (L3-5),Core,FCx,L4,Possible Reconstructions
950,PES4_190604_656_A01,H19.03.313.11.05.01.03,TCx_L4,20.5,Pass,17.8186252,6617,hIVSCC-MET,Go,Deferred,0.669576478,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Failed Reconstructions
951,PFS4_190122_705_A01,H19.03.302.11.04.01.07,TCx_L4,73,Pass,25.13155666,11814,hIVSCC-MET,No Go,,0.889015299,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
952,PFS4_190417_703_A01,H19.03.308.12.02.01.03,TCx_L4,65.2,Pass,22.20635972,10690,hIVSCC-MET,No Go,,0.813115381,Pass,Exc L3-5 RORB ESR1,0.999736061,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
953,PFS4_190514_712_A01,H19.03.311.14.09.01.06,TCx_L4,65.8,Pass,18.99945474,11241,hIVSCC-MET,Go,Ready for dendrite trace,0.97840335,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
955,PAS4_190108_456_A01,H19.03.301.11.14.01.04,TCx_L4,67,Pass,11.44644844,10451,hIVSCC-MET,Go,Deferred,0.820203229,Pass,Exc L3-5 RORB ESR1,0.959046365,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Failed Reconstructions
956,PAS4_190109_452_A01,H19.03.301.12.08.01.04,TCx_L4,72.9,Pass,7.961061167,9398,hIVSCC-MET,No Go,,0.607926469,Pass,Exc L3-5 RORB ESR1,0.521450797,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
957,PES4_191105_652_A01,H19.03.321.12.02.01.04,TCx_L4,64.7,Pass,12.82183232,11318,hIVSCC-MET,Go,,0.884558788,Pass,Exc L3-5 RORB ESR1,0.919397342,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
958,PES4_200114_660_A01,H20.03.301.11.06.01.04,TCx_L4,60.6,Pass,13.47952889,5375,hIVSCC-MET,Go,,0.667281917,Pass,Exc L3-5 RORB ESR1,0.993734152,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
959,PFS4_190709_712_A01,H19.03.315.11.12.01.03,TCx_L4,65.9,Pass,21.16400609,11530,hIVSCC-MET,No Go,,1.110329251,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
960,P8S4_190311_354_A01,H19.03.306.11.12.01.04,TCx_L4,60.9,Pass,19.77074467,10180,hIVSCC-MET,No Go,,0.953103526,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
961,PFS4_190514_708_A01,H19.03.311.14.09.01.02,TCx_L4,56.3,Pass,20.11298403,10793,hIVSCC-MET,Go,Image QC passed,0.798869269,Pass,Exc L3-5 RORB ESR1,0.65263498,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
962,PHS4_190321_201_A01,H19.9.146.11.21.01,TCx_L4,38.7,Pass,24.89471334,15631,hIVSCC-METx,,,0.888739358,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
963,P2S4_190108_052_A01,H19.03.301.11.05.01.06,TCx_L4,82.2,Pass,19.21075089,11659,hIVSCC-MET,No Go,,0.859267151,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
964,P8S4_200121_361_A01,H20.03.302.11.09.01.10,TCx_L4,64.9,Pass,15.72363726,10170,hIVSCC-MET,Go,,0.869791495,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
965,PES4_190321_655_A01,H19.06.351.11.10.01.05,TCx_L4,61.4,Pass,14.32999545,9038,hIVSCC-MET,No Go,,0.87139379,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
966,PES4_190604_654_A01,H19.03.313.11.05.01.01,TCx_L4,46.6,Pass,23.53149027,11400,hIVSCC-MET,No Go,,0.947361509,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
967,P1S4_190709_008_A01,H19.03.315.11.04.01.01,TCx_L4,63.6,Pass,20.15439496,12056,hIVSCC-MET,No Go,,1.071359299,Pass,Exc L3-5 RORB ESR1,0.75093183,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
968,PES4_190122_658_A01,H19.03.302.11.08.01.02,TCx_L4,73.2,Pass,21.37789981,13363,hIVSCC-MET,Go,Ready for dendrite trace,0.865630211,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
969,PES4_190311_657_A01,H19.03.306.11.15.02.05,TCx_L4,65.5,Pass,25.52320859,10817,hIVSCC-MET,No Go,,0.758391929,Pass,Exc L3-5 RORB ESR1,0.413678945,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
970,PFS4_190514_710_A01,H19.03.311.14.09.01.04,TCx_L4,67.4,Pass,15.55416384,9837,hIVSCC-MET,Go,Ready for dendrite trace,0.941353703,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
971,PAS4_191105_453_A01,H19.03.321.12.04.01.02,TCx_L4,51.3,Pass,10.87674962,9314,hIVSCC-MET,No Go,,0.842180907,Pass,Exc L3-5 RORB ESR1,0.976077774,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
972,PES4_190618_657_A01,H19.03.314.12.12.01.05,TCx_L4,67.2,Pass,36.23031368,11620,hIVSCC-MET,No Go,,0.894274664,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
973,PFS4_190604_705_A01,H19.03.313.11.04.01.01,TCx_L4,69.4,Pass,13.75446253,10313,hIVSCC-MET,Go,Ready for dendrite trace,0.985142104,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
974,P8S4_200121_362_A01,H20.03.302.11.09.01.11,TCx_L4,57.4,Pass,14.24858874,9804,hIVSCC-MET,Go,,0.830387664,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
975,PAS4_190108_455_A01,H19.03.301.11.14.01.02,TCx_L4,70.5,Pass,14.78030558,12157,hIVSCC-MET,No Go,,1.091850661,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
977,P8S4_171219_355_A01,H17.03.016.11.15.03,TCx_L4,62.6,Pass,23.19162424,8154,hIVSCC-MET,Go,Ready for dendrite trace,0.92560566,Pass,Exc L3-5 RORB ESR1,0.685568881,Glutamatergic neuron,IT (L3-5),I1,TCx,L4,Possible Reconstructions
981,PAS4_190109_451_A01,H19.03.301.12.08.01.03,TCx_L4,78.8,Pass,11.14242312,10318,hIVSCC-MET,No Go,,0.958966645,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),I1,TCx,L4,Possible Reconstructions
982,PAS4_190604_456_A01,H19.03.313.11.12.01.02,TCx_L4,52.8,Pass,17.15652284,9635,hIVSCC-MET,Go,Image QC passed,0.8590521,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),I1,TCx,L4,Possible Reconstructions
983,PES4_200204_656_A01,H20.03.303.11.03.01.01,TCx_L4,48.1,Pass,11.76968358,8878,hIVSCC-MET,,,0.763015945,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),I1,TCx,L4,Possible Reconstructions
985,PES4_190425_654_A01,H19.03.310.11.06.01.04,FCx_L4,56.1,Pass,18.52593694,10289,hIVSCC-MET,Go,Image QC passed,0.820058624,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),I1,FCx,L4,Possible Reconstructions
986,PES4_190603_662_A01,H19.06.356.11.08.02.12,TCx_L4,61.7,Pass,11.30149236,10376,hIVSCC-MET,Go,Image QC passed,0.810652562,Pass,Exc L3-5 RORB ESR1,0.993142286,Glutamatergic neuron,IT (L3-5),I1,TCx,L4,Possible Reconstructions
988,PES4_190416_658_A01,H19.03.308.11.15.01.03,TCx_L4,58.7,Pass,18.66817195,11198,hIVSCC-MET,No Go,,0.787632339,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),I1,TCx,L4,Possible Reconstructions
991,PFS4_190514_706_A01,H19.03.311.14.04.01.05,TCx_L4,58.7,Pass,23.8510445,11927,hIVSCC-MET,No Go,,0.822899871,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),I1,TCx,L4,Possible Reconstructions
993,P2S4_190514_051_A01,H19.03.311.14.08.01.01,TCx_L4,44.5,Pass,32.01707075,13233,hIVSCC-MET,No Go,,0.764337379,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),I1,TCx,L4,Possible Reconstructions
995,P8S4_190723_359_A01,H19.03.317.11.09.01.03,TCx_L4,56.9,Pass,16.17526825,9368,hIVSCC-MET,Go,Ready for dendrite trace,0.931169178,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),I1,TCx,L4,Possible Reconstructions
996,PFS4_190723_704_A01,H19.03.317.11.05.01.04,TCx_L4,55.2,Pass,12.27176453,9136,hIVSCC-MET,No Go,,0.636411542,Pass,Exc L3-5 RORB ESR1,0.908452846,Glutamatergic neuron,IT (L3-5),I1,TCx,L4,Possible Reconstructions
1706,P1S4_190305_003_A01,H19.03.305.11.18.01.08,TCx_L4,65.5,Pass,17.90894213,10469,hIVSCC-MET,No Go,,0.862382486,Pass,Exc L3-5 RORB ESR1,0.495808557,Glutamatergic neuron,IT (L3-5),I2,TCx,L4,Possible Reconstructions
1761,PHS4_191108_102_A01,H19.29.163.11.11.02,FCx_L4,36.7,Pass,13.75511182,9770,hIVSCC-METx,,,0.549536445,Pass,Exc L3-5 RORB ESR1,0.655253202,Glutamatergic neuron,IT (L3-5),PoorQ,FCx,L4,Possible Reconstructions
1823,P8S4_190604_352_A01,H19.03.313.11.13.01.02,TCx_L4,45.4,Pass,5.870296984,6719,hIVSCC-MET,No Go,,0.676471441,Pass,Exc L3-5 RORB ESR1,0.975848504,Glutamatergic neuron,IT (L4-6),I1,TCx,L4,Possible Reconstructions
